OID,Join_Count,TARGET_FID,Diam_km,x_coord,y_coord,Area,Group_ID,Central_La,Central_Lo,Geodesic_a,Shape_Leng,Shape_Area,Area_km2,Diam_km1
-1,1,428,46.95536022,-32.78267435,18.4713285,1823.244792,1,18.438,-32.69,1.402,151505.9957,1823244792,1823.244792,48
-1,1,441,129.1759114,-30.59747186,-12.55230862,13425.48486,1,-11.264,-31.107,12,410829.5387,13425484863,13425.48486,131
-1,1,442,62.03572434,-31.46434138,-11.45244618,3079.820696,1,-11.264,-31.107,12,196822.6991,3079820696,3079.820696,63
-1,1,462,135.5624733,-47.55346852,19.50023528,15310.77739,1,20.177,-48.203,14.318,438967.663,15310777386,15310.77739,140
-1,1,466,311.3655717,-44.58322787,-2.541309907,76223.43307,5,-2.59,-47.827,7.767,978724.1112,76223433068,76223.43307,312
-1,1,466,311.3655717,-44.58322787,-2.541309907,76223.43307,5,-2.59,-47.827,7.767,978724.1112,76223433068,76223.43307,312
-1,1,466,311.3655717,-44.58322787,-2.541309907,76223.43307,5,-2.59,-47.827,7.767,978724.1112,76223433068,76223.43307,312
-1,1,466,311.3655717,-44.58322787,-2.541309907,76223.43307,5,-2.59,-47.827,7.767,978724.1112,76223433068,76223.43307,312
-1,1,466,311.3655717,-44.58322787,-2.541309907,76223.43307,5,-2.59,-47.827,7.767,978724.1112,76223433068,76223.43307,312
-1,1,470,189.2957528,-44.11058442,11.30863209,28690.35458,3,11.189,-45.457,1.826,600549.2067,28690354581,28690.35458,191
-1,1,470,189.2957528,-44.11058442,11.30863209,28690.35458,3,11.189,-45.457,1.826,600549.2067,28690354581,28690.35458,191
-1,1,470,189.2957528,-44.11058442,11.30863209,28690.35458,3,11.189,-45.457,1.826,600549.2067,28690354581,28690.35458,191
-1,1,488,30.4708122,-44.76990387,36.68539878,907.8718286,1,36.799,-44.987,0.346,107830.7403,907871828.6,907.8718286,34
-1,1,542,,,,,1,16.325,-30.08,177.539,214780.1211,3656989578,3656.989578,68
-1,1,574,,,,,1,8.224,-72.062,16.457,31200.74589,77308099.49,77.30809949,10
-1,1,651,,,,,1,0.193,-39.489,92.181,56758.61592,256269189.4,256.2691894,18
