,lat,lon,diam,radius
2290,34.650055,-64.84046,51.866209,25.9331045 Kilometer
2317,35.474172,-34.62126,51.449402,25.724701 Kilometer
2339,11.874968,-72.055258,51.10227,25.551135 Kilometer
2355,23.837126,-57.449362,50.894779,25.4473895 Kilometer
2384,33.465553,-66.137861,50.533192,25.266596 Kilometer
2390,33.560056,-28.701193,50.446344,25.223172 Kilometer
2393,36.184855,-51.45046,50.387156,25.193578 Kilometer
2394,24.606837,-28.585661,50.384551,25.1922755 Kilometer
2397,18.528949,-37.17016,50.365127,25.1825635 Kilometer
2409,10.707025,-39.785662,50.231975,25.1159875 Kilometer
2417,8.807022,-53.785662,50.160413,25.0802065 Kilometer
2425,8.607026,-65.685659,50.102661,25.0513305 Kilometer
2439,2.025651,-45.801661,50.00062,25.00031 Kilometer
2452,-7.392765,-34.285661,49.70768,24.85384 Kilometer
2468,24.606798,-48.385661,49.496976,24.748488 Kilometer
2511,22.079403,-53.941642,48.833324,24.416662 Kilometer
2528,4.907077,-67.085661,48.651028,24.325514 Kilometer
2530,-8.248158,-67.605846,48.601892,24.300946 Kilometer
2548,29.725987,-73.787978,48.339033,24.1695165 Kilometer
2596,24.900792,-44.371451,47.624018,23.812009 Kilometer
2598,9.340723,-71.666758,47.616242,23.808121 Kilometer
2603,0.784127,-65.279588,47.579517,23.7897585 Kilometer
2606,32.806702,-43.485661,47.566645,23.7833225 Kilometer
2654,18.47891,-32.868335,46.949182,23.474591 Kilometer
2674,1.854916,-61.609748,46.740438,23.370219 Kilometer
2692,1.647076,-44.297508,46.562916,23.281458 Kilometer
2696,22.53363,-38.464377,46.536111,23.2680555 Kilometer
2719,16.338568,-72.949986,46.213213,23.1066065 Kilometer
2771,23.206868,-50.485661,45.575618,22.787809 Kilometer
2780,25.589246,-64.537432,45.496491,22.7482455 Kilometer
2782,7.836946,-68.186925,45.47772,22.73886 Kilometer
2818,31.231455,-57.504548,45.107423,22.5537115 Kilometer
2821,35.821777,-45.441388,45.09889,22.549445 Kilometer
2830,6.107073,-62.385661,45.004135,22.5020675 Kilometer
2875,21.443277,-48.722857,44.539104,22.269552 Kilometer
2877,1.377051,-54.925327,44.538548,22.269274 Kilometer
2884,4.678984,-62.432177,44.410666,22.205333 Kilometer
2886,6.511114,-56.062825,44.399642,22.199821 Kilometer
2893,-11.061809,-44.308844,44.364076,22.182038 Kilometer
2897,-6.050054,-64.458697,44.320557,22.1602785 Kilometer
2953,12.976956,-41.275163,43.784158,21.892079 Kilometer
2957,16.427386,-73.535256,43.706811,21.8534055 Kilometer
2972,22.551359,-37.547235,43.496609,21.7483045 Kilometer
3023,7.038765,-67.465904,43.07811,21.539055 Kilometer
3026,-11.534374,-29.243206,43.070647,21.5353235 Kilometer
3047,-10.900359,-38.099708,42.847292,21.423646 Kilometer
3048,-4.905299,-33.341157,42.839662,21.419831 Kilometer
3052,1.502789,-66.61483,42.816585,21.4082925 Kilometer
3053,21.7168,-53.038958,42.813528,21.406764 Kilometer
3054,3.379674,-21.9094,42.801176,21.400588 Kilometer
3057,-11.331353,-32.951453,42.780228,21.390114 Kilometer
3066,9.807044,-28.585661,42.691598,21.345799 Kilometer
3111,35.865462,-43.123581,42.315258,21.157629 Kilometer
3130,-1.367596,-66.686363,42.107311,21.0536555 Kilometer
3134,26.916506,-54.133229,42.06422,21.03211 Kilometer
3135,17.080908,-37.515779,42.063128,21.031564 Kilometer
3146,22.745303,-50.367359,42.011508,21.005754 Kilometer
3154,14.404884,-26.859197,41.866532,20.933266 Kilometer
3166,21.360231,-39.177653,41.758521,20.8792605 Kilometer
3203,35.444959,-62.326619,41.418207,20.7091035 Kilometer
3207,5.280869,-56.06501,41.360826,20.680413 Kilometer
3214,34.269981,-21.498285,41.333126,20.666563 Kilometer
3238,31.472062,-69.878398,41.117194,20.558597 Kilometer
3251,16.385313,-63.218359,40.992394,20.496197 Kilometer
3273,20.671953,-63.328333,40.847743,20.4238715 Kilometer
3281,9.036012,-31.045256,40.715388,20.357694 Kilometer
3287,-4.276856,-68.139089,40.661697,20.3308485 Kilometer
3308,30.78786,-69.725256,40.518509,20.2592545 Kilometer
3315,6.433693,-35.438738,40.438948,20.219474 Kilometer
3328,26.421472,-31.854563,40.33229,20.166145 Kilometer
3330,4.300253,-39.585478,40.322636,20.161318 Kilometer
3332,12.399007,-26.072662,40.312839,20.1564195 Kilometer
3333,28.193929,-38.405333,40.307153,20.1535765 Kilometer
3334,31.689421,-57.069797,40.297341,20.1486705 Kilometer
3337,10.102672,-43.279524,40.263405,20.1317025 Kilometer
3370,12.32452,-35.549226,40.068272,20.034136 Kilometer
3371,-6.864778,-57.837791,40.065668,20.032834 Kilometer
3376,13.000906,-32.226135,40.032575,20.0162875 Kilometer
3379,17.066185,-66.555155,40.016257,20.0081285 Kilometer
3394,8.751385,-23.003061,39.887483,19.9437415 Kilometer
3419,34.394484,-57.160373,39.606171,19.8030855 Kilometer
3449,15.608579,-71.257596,39.403158,19.701579 Kilometer
3457,1.360505,-64.439949,39.332189,19.6660945 Kilometer
3461,-4.095683,-59.023152,39.30447,19.652235 Kilometer
3489,-3.203487,-21.784131,39.135728,19.567864 Kilometer
3515,0.458946,-37.837435,38.927411,19.4637055 Kilometer
3536,-8.98571,-30.409997,38.696933,19.3484665 Kilometer
3554,36.53819,-49.923467,38.559627,19.2798135 Kilometer
3574,-10.322455,-40.110537,38.408218,19.204109 Kilometer
3577,28.606895,-44.285661,38.401991,19.2009955 Kilometer
3580,10.037934,-31.345993,38.367634,19.183817 Kilometer
3584,-7.543918,-50.620857,38.350801,19.1754005 Kilometer
3623,31.985701,-70.217968,37.968274,18.984137 Kilometer
3663,-3.44879,-72.331283,37.741289,18.8706445 Kilometer
3715,7.407084,-28.885661,37.408213,18.7041065 Kilometer
3722,20.419483,-40.667558,37.338451,18.6692255 Kilometer
3727,-9.782046,-50.406765,37.284346,18.642173 Kilometer
3761,-10.72674,-42.730659,37.013381,18.5066905 Kilometer
3805,35.374509,-58.953425,36.669439,18.3347195 Kilometer
3814,-10.420316,-61.340441,36.626179,18.3130895 Kilometer
3820,29.530394,-69.193007,36.595955,18.2979775 Kilometer
3846,-9.111204,-57.426671,36.429398,18.214699 Kilometer
3853,-11.181326,-26.797888,36.382738,18.191369 Kilometer
3867,18.959888,-35.273413,36.308977,18.1544885 Kilometer
3912,3.747774,-56.215333,36.015367,18.0076835 Kilometer
3927,-5.141162,-31.936411,35.90573,17.952865 Kilometer
3939,25.394604,-34.818801,35.827103,17.9135515 Kilometer
3952,-1.307742,-27.298397,35.740379,17.8701895 Kilometer
3976,15.718331,-43.29839,35.600505,17.8002525 Kilometer
3991,-2.787168,-44.330258,35.524945,17.7624725 Kilometer
4028,7.777245,-64.030791,35.25459,17.627295 Kilometer
4031,-7.492813,-56.185661,35.214956,17.607478 Kilometer
4037,9.538116,-38.792726,35.144967,17.5724835 Kilometer
4039,14.340228,-71.089505,35.143507,17.5717535 Kilometer
4040,14.665855,-41.32718,35.111454,17.555727 Kilometer
4042,12.2695,-40.130461,35.083589,17.5417945 Kilometer
4044,24.46458,-46.974247,35.070568,17.535284 Kilometer
4057,16.09971,-46.590279,34.986066,17.493033 Kilometer
4078,28.756743,-42.036442,34.871854,17.435927 Kilometer
4133,20.332602,-55.424063,34.476748,17.238374 Kilometer
4176,21.277617,-69.603612,34.149021,17.0745105 Kilometer
4205,34.430473,-47.550106,33.954613,16.9773065 Kilometer
4212,-6.070159,-21.815888,33.903789,16.9518945 Kilometer
4219,2.350544,-49.467865,33.858636,16.929318 Kilometer
