OBJECTID,Join_Count,TARGET_FID,Field1,lat,lon,diam,radius,BUFF_DIST,ORIG_FID,Group_ID,Central_La,Central_Lo,Geodesic_a,Shape_Length,Shape_Area
90,1,90,1,5.906959,-57.38566,75.168238,37.584119 Kilometer,37584.119,89,1080,5.898,-57.871,3.286,5.561158711,2.46080766
91,0,91,1,25.531945,-47.268259,74.843618,37.421809 Kilometer,37421.809,90,,,,,5.825084221,2.689282565
92,0,92,1,11.987825,-23.170361,73.38656,36.69328 Kilometer,36693.28,91,,,,,5.475408038,2.385088422
93,0,93,1,-1.892808,-70.885664,73.024894,36.512447 Kilometer,36512.447,92,,,,,5.389657993,2.311388322
94,0,94,1,5.427786,-36.230666,72.018856,36.009428 Kilometer,36009.428,93,,,,,5.325927294,2.257029624
95,0,95,1,34.678014,-25.519461,70.658931,35.3294655 Kilometer,35329.4655,94,,,,,5.790485936,2.630071125
96,0,96,1,24.306488,-27.285662,70.539561,35.2697805 Kilometer,35269.7805,95,,,,,5.460876717,2.365214925
97,0,97,1,20.574861,-23.648461,70.533308,35.266654 Kilometer,35266.654,96,,,,,5.383101097,2.302004801
98,0,98,1,30.930328,-49.964861,70.504915,35.2524575 Kilometer,35252.4575,97,,,,,5.641757261,2.510449817
99,0,99,1,15.887587,-26.703261,70.474583,35.2372915 Kilometer,35237.2915,98,,,,,5.303775573,2.237031237
100,1,100,1,13.653762,-30.444561,70.415426,35.207713 Kilometer,35207.713,99,8043,13.45,-30.638,23.306,5.271462835,2.210433204
101,0,101,1,8.818958,-62.765261,70.192477,35.0962385 Kilometer,35096.2385,100,,,,,5.210215572,2.159919116
102,0,102,1,20.528016,-60.01576,69.183381,34.5916905 Kilometer,34591.6905,101,,,,,5.279218724,2.214043626
103,1,103,1,-3.992761,-56.085661,68.896955,34.4484775 Kilometer,34448.4775,102,1026,-3.95,-56.143,8.317,5.089775812,2.061316623
104,0,104,1,-6.910572,-35.672663,68.370916,34.185458 Kilometer,34185.458,103,,,,,5.063249234,2.039847993
105,0,105,1,8.57245,-23.067761,68.266468,34.133234 Kilometer,34133.234,104,,,,,5.065561997,2.041655782
106,1,106,1,6.169116,-23.732258,68.204204,34.102102 Kilometer,34102.102,105,8190,6.443,-23.757,9.742,5.047139227,2.026902908
107,0,107,1,-11.192606,-55.985663,67.683689,33.8418445 Kilometer,33841.8445,106,,,,,5.042595464,2.022998042
108,0,108,1,34.764086,-72.502562,66.543624,33.271812 Kilometer,33271.812,107,,,,,5.45646836,2.335031844
109,0,109,1,11.854975,-53.215761,65.286283,32.6431415 Kilometer,32643.1415,108,,,,,4.869797201,1.886652281
110,0,110,1,19.506645,-69.185659,65.271701,32.6358505 Kilometer,32635.8505,109,,,,,4.963808324,1.957972168
111,0,111,1,4.646475,-51.846663,65.063034,32.531517 Kilometer,32531.517,110,,,,,4.808605152,1.839850236
112,0,112,1,32.621876,-21.678854,64.652252,32.326126 Kilometer,32326.126,111,,,,,5.226727671,2.149884019
113,1,113,1,-1.544668,-26.11536,63.96252,31.98126 Kilometer,31981.26,112,8202,-1.454,-26.225,7.584,4.720336916,1.772927632
114,0,114,1,-9.332554,-61.814062,63.793855,31.8969275 Kilometer,31896.9275,113,,,,,4.738658242,1.786597703
115,0,115,1,-3.448839,-70.07556,63.725842,31.862921 Kilometer,31862.921,114,,,,,4.706282432,1.762383666
116,0,116,1,-0.378288,-30.33736,62.551026,31.275513 Kilometer,31275.513,115,,,,,4.615375932,1.694954987
117,0,117,1,33.688805,-42.00606,62.547713,31.2738565 Kilometer,31273.8565,116,,,,,5.091535134,2.036810846
118,0,118,1,29.123322,-21.554461,61.920794,30.960397 Kilometer,30960.397,117,,,,,4.905029672,1.901317566
119,0,119,1,31.044808,-72.941458,61.518429,30.7592145 Kilometer,30759.2145,118,,,,,4.925912218,1.913510855
120,0,120,1,-9.517995,-69.087263,60.812031,30.4060155 Kilometer,30406.0155,119,,,,,4.51837952,1.62434
121,0,121,1,-9.292675,-59.88566,60.787853,30.3939265 Kilometer,30393.9265,120,,,,,4.515097209,1.62199165
122,0,122,1,-3.458686,-28.862261,60.775773,30.3878865 Kilometer,30387.8865,121,,,,,4.488424872,1.602988123
123,0,123,1,-9.216541,-27.839062,60.700388,30.350194 Kilometer,30350.194,122,,,,,4.508107693,1.616977195
124,0,124,1,-9.996953,-33.835062,60.689507,30.3447535 Kilometer,30344.7535,123,,,,,4.512553785,1.620128528
125,0,125,1,21.745713,-26.367962,60.435944,30.217972 Kilometer,30217.972,124,,,,,4.631664336,1.703447331
126,0,126,1,12.734332,-42.785662,60.313964,30.156982 Kilometer,30156.982,125,,,,,4.506545241,1.615580619
127,0,127,1,10.93406,-35.982363,60.291203,30.1456015 Kilometer,30145.6015,126,,,,,4.489797937,1.6037666
128,0,128,1,9.088877,-44.84696,60.212773,30.1063865 Kilometer,30106.3865,127,,,,,4.471079952,1.590527413
129,0,129,1,11.470377,-69.614859,60.011509,30.0057545 Kilometer,30005.7545,128,,,,,4.473173728,1.591869519
130,0,130,1,26.60814,-50.608811,59.688138,29.844069 Kilometer,29844.069,129,,,,,4.668581577,1.726123173
131,1,131,1,-11.31229,-31.382561,59.639257,29.8196285 Kilometer,29819.6285,130,8173,-11.264,-31.107,12,4.444169579,1.571304061
132,1,132,1,35.652213,-37.963256,59.21551,29.607755 Kilometer,29607.755,131,8203,35.931,-37.541,0.204,4.88617998,1.869340218
133,0,133,1,9.506969,-41.085661,58.244951,29.1224755 Kilometer,29122.4755,132,,,,,4.327560547,1.490032496
134,0,134,1,9.306972,-54.785662,58.213833,29.1069165 Kilometer,29106.9165,133,,,,,4.323985247,1.487580227
135,0,135,1,8.27474,-74.610841,58.081388,29.040694 Kilometer,29040.694,134,,,,,4.308088066,1.476698791
136,0,136,1,34.904434,-53.09276,57.695426,28.847713 Kilometer,28847.713,135,,,,,4.735505641,1.758276647
137,1,137,1,36.608055,-42.003316,57.31738,28.65869 Kilometer,28658.69,136,8012,36.662,-42.047,16.803,4.763045045,1.772869929
138,0,138,1,19.843648,-64.596159,57.203878,28.601939 Kilometer,28601.939,137,,,,,4.355011387,1.506982178
139,0,139,1,30.636257,-62.75599,56.102748,28.051374 Kilometer,28051.374,138,,,,,4.481596439,1.584635773
140,0,140,1,-1.210161,-67.814161,55.807546,27.903773 Kilometer,27903.773,139,,,,,4.118187499,1.349430445
141,0,141,1,-10.126095,-41.284662,55.725464,27.862732 Kilometer,27862.732,140,,,,,4.144267239,1.36644933
142,0,142,1,33.622001,-22.678854,55.542781,27.7713905 Kilometer,27771.3905,141,,,,,4.51928189,1.604844668
143,0,143,1,-9.063267,-48.22846,55.431123,27.7155615 Kilometer,27715.5615,142,,,,,4.115850036,1.347818986
144,0,144,1,15.659587,-38.538458,55.379179,27.6895895 Kilometer,27689.5895,143,,,,,4.165254333,1.37971083
